boletin,project_id,fecha_ingreso,origen_iniciativa,boletin_suffix,titulo,document_type,text_quality,cleaned_chars,text_excerpt,topic_primary,topic_secondary,coder,review_status,notes
18340-03,19016,2026-06-10,parlamentario,03,Excluye la aplicación de la unidad de fomento como mecanismo de reajustabilidad en los contratos que señala y establece mayores deberes de transparencia en su utilización,ingreso_proyecto,rica,8781,"Boletín N° 18.340-03 Proyecto de ley, iniciado en Moción de la Honorable Senador señora Cicardini, que excluye la aplicación de la unidad de fomento como mecanismo de reajustabilidad en los contratos que señala y establece mayores deberes de transparencia en su utilización. ANTECEDENTES La Unidad de Fomento (UF) es un índice de reajustabilidad, calculado y autorizado por el Banco Central de Chile, para las operaciones de crédito de dinero en moneda nacional 1. En sus orígenes en la década del 70‘ fue pensada como un mecanismo de indexación de precios con otros objetivos y resguardos, pero, sin embargo, durante los últimos años su aplicación desmedida a todo tipo de contratos ha desnaturalizado su objetivo principal. La UF fue instaurada mediante la ley N° 16.253, publicada el 19 de mayo de 1965. Su artículo 6 disponía que ""los Bancos de Fomento tendrán la facultad de conceder préstamos reajustables en la forma y condiciones que determine el reglamento que dictará el presidente de la República"". El citado reglamento fue dictado mediante decreto N° 40 del Ministerio de Hacienda, publicado el 20 de enero de 1967. Su artículo 3 o dispuso que el capital de los préstamos y demás operaciones reajustables se expresarán en ""unidades de fomento"", ""cuyo valor en moneda corriente se determinará en la forma expresada en el artículo siguiente."" Se definió como un mecanismo aprobado por ley que buscaba reajustar instrumentos de deuda de largo plazo de los bancos de fomento estatales, del Banco del Estado y de bancos hipotecarios. La UF se definió como un valor en escudos (moneda de la época) que se reajustaba trimestralmente por la variación del índice de precios al consumidor (IPC).2 Sin embargo, en los últimos años la carga de la Unidad de Fomento (UF) es una mochila que llevan miles de familias día a día. quienes ven como sus ingresos no son suficientes para hacerse cargo de las alzas que ha experimentado esta unidad de medida. Paso entonces de ser un instrumento de ahorro y resguardo de la inflación a ser un mecanismo de cobro utilizado en diversas áreas como aranceles y matrículas en educación, contratos de arriendo e incluso en contratos de salud con el negocio millonario que hoy mantienen las ISAPRES. Es evidente que existe una desnaturalización de este instrumento o mecanismo de reajustabilidad, transformándose en muchos casos en una herramienta de cobros abusivos en 1 https://si3.bcentral.cl/estadisticas/Principal1/Metodologias/EMF/UF.pdf#:~:text=La%20Unidad%20de%20F omento%20(UF)%20es%20un,y%20las%20cooperativas%20de%20ahorro%20y%20cr%C3%A9dito. 2 https://obt",,,,pending,
18352-04,19026,2026-06-10,parlamentario,04,"Modifica la ley N°20.370, General de Educación, para incorporar la educación emocional y salud mental en el sistema escolar",ingreso_proyecto,rica,3293,"18352-07 PERIODO LEGISLATIVO 2026-2030 LEGISLATURA 374 Modifica la ley N°20.370, General de Educación, para incorporar la educación emocional y salud mental en el sistema escolar. SESIÓN N° 34 PRIMER TRÁMITE CONST. FECHA 16-06-2026 SEGUNDO TRÁMITE CONST. (S) IDEA MATRIZ La idea matriz de este proyecto de ley consiste en modificar la Ley General de Educación para establecer la educación emocional y la gestión de emociones como objetivos generales transversales desde la educación parvularia a medio. El propósito fundamental es dotar a las comunidades escolares de herramientas para la identificación y regulación afectiva, transitando hacia un enfoque de prevención integral. Junto con lo anterior, la iniciativa faculta y mandata a los establecimientos a diseñar e implementar Planes de Prevención de Situaciones de Violencia, los cuales deben priorizar la salud mental, el bienestar psicosocial y el cuidado de todos los estamentos. De este modo, se busca garantizar la seguridad escolar mediante el fortalecimiento de la convivencia sana, la resiliencia y el resguardo de la integridad de la comunidad educativa. Por estas consideraciones, los diputados firmantes venimos en proponer el siguiente: 10-06-2026 08:49 PROYECTO DE LEY Artículo Único: Modifíquese la Ley 20.370, General de Educación, cuyo texto refundido, coordinado y sistematizado se encuentra en el DFL 2 del año 2010, en el siguiente tenor: I) Incorpórese un nuevo literal n) al artículo 28 de la Ley 20.370 General de Educación en los siguientes términos: “n) Iniciar el desarrollo de estrategias básicas de autorregulación que les permitan identificar la intensidad de sus estados internos” II) Incorpórese un nuevo literal h) en el numeral 1) del artículo 29, de la Ley 20.370 General de Educación en los siguientes términos: “h) Identificar y comprender las propias emociones y las de los demás, y desarrollar la capacidad de autorregulación para fortalecer el bienestar personal, utilizando la gestión de las emociones como una herramienta básica para la construcción de una identidad equilibrada y el autocuidado emocional” III) Incorpórese un nuevo literal g) en el numeral 1) del artículo 30, de la Ley 20.370 General de Educación, en los siguientes términos: ""g) Desarrollar la capacidad de autorregulación y gestión del estrés mediante el reconocimiento de los estados internos, potenciando la resiliencia y la habilidad de aprender de la adversidad para mantener el equilibrio emocional frente a desafíos complejos” 10-06-2026 08:49 IV) Incorpórese un nuevo inciso final al Artículo 16 D de la Ley 20.370, en los sig",,,,pending,
18362-19,19047,2026-06-11,parlamentario,19,Establece la obligación de fijar domicilio en Chile a las plataformas digitales,ingreso_proyecto,rica,12468,"ANTECEDENTES El derecho regula relaciones de poder, cuando esas relaciones cambian de manera radical y el derecho no se adapta, el resultado no es neutralidad: es la institucionalización de la ventaja para quien tiene más poder. Eso es exactamente lo que ocurre hoy en Chile con las plataformas digitales. Una empresa extranjera que factura decenas de millones de dólares en Chile gracias a la actividad de sus usuarios nacionales que ni siquiera tiene representante legal en el país, no responde citaciones judiciales, no entrega información al Ministerio Público cuando investiga delitos cometidos en su plataforma, y no puede ser alcanzada por la autoridad de protección de datos. En cambio, la pequeña empresa del barrio paga IVA, registra su constitución ante el Conservador de Comercio, cumple con la Dirección d el Trabajo y responde ante los tribunales ordinarios. La desigualdad regulatoria es estructural, y sus consecuencias son concretas. Ha ocurrido en reiteradas ocasiones que por ejemplo las policías intentan investigar un caso de extorsión sexual contra una menor de edad, se identifica la cuenta, pero como la empresa está en otro país, para obtener los datos de identificación del usuario debe recurrir a los mecanismos de cooperación internacional del Convenio de Budapest, que Chile ratificó en 2017. 1 Así, el proceso de investigación puede durar meses, sin tener certeza incluso de que llegará una respuesta. La investigación no avanza y el agresor permanece impune y la víctima no obtiene justicia. Este no es un caso excepcional, se ha convertido en la regla general lamentablemente. El derecho moderno descansa sobre el principio de territorialidad: quien opera en un territorio queda sometido a su ordenamiento jurídico. Las plataformas digitales globales han construido un modelo de negocio que, deliberadamente o no, elude ese principio 2. Tienen usuarios en Chile, recaudan ingresos publicitarios en Chile, procesan datos de 1 https://www.bcn.cl/leychile/navegar?idNorma=1106936 2 https://www.lawandtrends.com/noticias/tic/el-ciberespacio-el-principio-de-territorialidad.html 11-06-2026 15:33 2 chilenos y median en transacciones que se ejecutan en Chile, pero no tienen domicilio, representante ni responsable en el país. Esto no ocurre porque la tecnología lo haga inevitable, sino que ocurre porque no existe una norma que lo prohíba. El vacío regulatorio es una ventaja competitiva. Las plataformas extranjeras operan en Chile con una carga regulatoria próxima a cero, mientras los actores locales que compiten en el mismo espacio deben cump lir todas las obligacion",,,,pending,
18375-29,19053,2026-06-15,parlamentario,29,Establece normas para la regulación de la emisión de ruido generado por instalaciones deportivas,ingreso_proyecto,rica,14298,"Antecedentes La expansión de la industria de instalaciones deportivas en Chile ha traído consigo un fenómeno que afecta de manera creciente a miles de familias en zonas urbanas. La contaminación acústica generada por gimnasios, centros de entrenamiento funcional, estudios de spinning, salas de boxeo y otros establecimientos similares que, en muchos casos se emplazan cercanos a zonas residenciales, ha obligado a que vecinos y vecinas deban convivir diariamente con música a alto volumen, ruidos de impacto y vibraciones estructurales, alterando sus rutinas de descanso, estudio y trabajo en el hogar. Diversos estudios de acústica aplicada a centros deportivos han determinado que las zonas de mayor nivel de ruido se concentran en las salas de máquinas, de pesas y de actividades dirigidas con música amplificada. En el caso de las pesas, los niveles de ruido y vibración se incrementan de manera significativa producto a la caída reiterada de cargas elevadas sobre el piso (por ejemplo, discos y barras que pueden superar los 80 kg dejados caer desde altura), lo que genera ruidos de impacto que se transmiten con facilidad a viviendas colindantes, muchas veces sobre los límites recomendados para el descanso y el sueño. A ello se suma que el ruido suele ser de carácter repetitivo y prolongado en el tiempo, con horarios de funcionamiento extendidos que abarcan la franja temprana de la mañana y la noche, lo que incrementa el riesgo de trastornos 15-06-2026 10:55 del sueño y estrés crónico en la población expuesta. En ese sentido, la Organización Mundial de la Salud (OMS) ha advertido que la exposición prolongada y excesiva a música fuerte y otros sonidos recreativos somete a más de mil millones de personas a un riesgo elevado de pérdida de la audición y otros efectos adversos como el deterioro cognitivo, cardiopatías, hipertensión y problemas de salud mental1. En el ámbito nacional, la justicia ha reconocido el carácter lesivo de estos ruidos para la vida cotidiana de las personas. La Corte de Apelaciones de Valparaíso acogió un recurso de protección interpuesto en contra de un gimnasio debido a ruidos excesivos provenientes del establecimiento al considerar que emitía ruidos por sobre el límite máximo permitido por la normativa ambiental, af ectando el derecho constitucional de residentes aledaños de vivir en un medio ambiente libre de contaminación 2. Este y otros casos dan cuenta de un conflicto que se ha vuelto recurrente en distintas ciudades del país, y que no ha encontrado respuesta en la regulación vigente. La contaminación acústica generada por instalaciones d",,,,pending,
18391-09,19075,2026-06-16,parlamentario,09,Regula la responsabilidad de empresas de servicios sanitarios para garantizar la reparación de bienes nacionales de uso público,ingreso_proyecto,rica,18391,"FUNDAMENTOS: El crecimiento exponencial de las zonas urbanas en Chile y el natural envejecimiento de las redes de distribución de agua potable y la recolección de aguas servidas han generado un aumento crítico en las fallas de infraestructura y bienes nacionales de uso público. Las roturas de matrices de agua y el colapso de colectores no solo provocan la pérdida del recurso hídrico , hecho no menor en una época de nuestra historia donde escasea, si no que además desencadenan fenómenos como deterioro, hundimientos y la aparición de socavones de gran magnitud en las vías públicas, interrumpiendo de forma prolongada la conectividad vial, dañan do el mobiliario urbano y, de manera más grave, expo niendo a la población a severos riesgos de accidentes e inseguridad vial.1 En las distintas regiones del país, y de manera más recurrente, en la macrozona norte, debido a las condiciones y alta presencia de suelo colapsable2, se constata que, tras la ocurrencia 1 Superintendencia de Servicios Sanitarios (SiSS), Informe de Gestión del Sector Sanitario 2024, disponible en https://www.siss.gob.cl/589/w3-article-23506.html. 2 Biblioteca del Congreso Nacional de Chile, Asesoría Técnica Parlamentaria, Suelos Colapsables. Caracterización e Intervención, autor Rafael Torres, N° SUP 138411, mayo 2023. 16-06-2026 13:45 de una falla sanitaria masiva, el mobiliario público (incluyendo pavimentos) permanecen sin una reparación definitiva durante meses , toda vez que l as empresas concesionarias de servicios sanitarios suelen adoptar soluciones provisorias de baja calidad técnica que se deterioran con el transcurso del tiempo , postergando obras de pavimentación definitivas bajo argumentos de coordinación interna o tramitaciones administrativas. Esta dilación injustificada afecta tanto la calidad de vida de l a población como la actividad económica local al inhabilitar arterias viales esenciales para el normal desarrollo en las diferentes comunas del país. Ante la emergencia y la presión por la reparación de las calles, los Gobiernos Regionales y las Municipalidades se ven forzadas en la práctica a intervenir de forma subsidiaria utilizando recursos públicos propios para mitigar los daños estructurales en lo s bienes nacionales de uso público y restablecer el tránsito seguro. Este escenario configura un desvío de los escasos fondos de muchas municipalidades y gobiernos regionales hacia tareas que, si bien están establecidas por ley34, por la naturaleza del contrato de concesión, corresponden estrictamente al patrimonio de las empresas prestadoras privadas , generando así un perj",,,,pending,
18402-33,19071,2026-06-17,parlamentario,33,"Modifica el Código de Aguas para fortalecer la protección de nacientes, vertientes y cabeceras de cuenca",ingreso_proyecto,rica,4709,"Fundamentos Nuestro país atraviesa una crisis hídrica prolongada, marcada por el avance de la desertificación, la disminución sostenida de precipitaciones, los efectos cada vez más intensos del cambio climático y la creciente presión sobre las fuentes hídricas derivada de distint as actividades humanas y productivas, situación que afecta especialmente a las comunidades rurales y territorios que dependen directamente de fuentes naturales de agua para su subsistencia, abastecimiento humano y desarrollo productivo. En numerosas locali dades rurales del país, expresiones tradicionales como el denominado “agua de tejas” reflejan la importancia histórica y comunitaria que el agua ha tenido para la vida campesina. Históricamente, la “teja” fue utilizada como una forma tradicional de distrib ución o medida del agua, asociada a pequeños caudales que permitían sostener a las familias, los animales, los cultivos y la vegetación del entorno. Estas fuentes representan no solo un recurso hídrico, sino también parte del patrimonio territorial, cultur al y ambiental de muchas comunidades. Las nacientes, vertientes y zonas de origen de las aguas cumplen una función esencial en el equilibrio de los ecosistemas y en la disponibilidad hídrica de múltiples territorios. En muchos casos, constituyen fuentes fu ndamentales para el abastecimiento humano, los sistemas de servicios sanitarios rurales (SSR), la agricultura familiar campesina y la conservación de la biodiversidad. Sin embargo, la creciente presión sobre los recursos hídricos y la intervención de estas fuentes mediante distintas obras, captaciones o acciones susceptibles de afectar su funcionamiento natural, han generado en diversos territorios procesos de disminución de caudales, degradación ecosistémica e incluso desaparición de vertientes y cursos de agua de relevancia local. Si bien la reforma introducida por la Ley N° 21.435 fortaleció el carácter de interés público del agua e incorporó principios vinculados a la preservación ecosistémica y la seguridad hídrica, la legislación vigente aún no contemp la herramientas específicas y preventivas destinadas al resguardo de nacientes, vertientes y cabeceras de cuenca frente a acciones susceptibles de afectar gravemente su sustentabilidad y funcionamiento natural. 17-06-2026 11:07 En este contexto, resulta necesario fortalece r la protección de estas fuentes de origen, promoviendo criterios preventivos que permitan resguardar la disponibilidad hídrica, la preservación de los ecosistemas y el abastecimiento humano, especialmente en aquellos territorios que enfrentan mayo",,,,pending,
18378-18,19063,2026-06-19,ejecutivo,18,Fortalece el ejercicio de la responsabilidad parental,texto_proyecto,rica,49486,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE LEY QUE FORTALECE EL EJERCICIO DE LA RESPONSABILIDAD PARENTAL. Santiago, 11 de junio de 2026 MENSAJE N° 060-374/ Honorable Cámara de Diputados: A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS En uso de mis facultades constitucionales, tengo el honor de someter a vuestra consideración un proyecto de ley que fortalece el ejercicio de la responsabilidad parental. ANTECEDENTES Evolución histórica de la Autoridad Parental Desde la dictación del Código Civil en 1855, nuestro ordenamiento jurídico ha concebido las relaciones personales entre padres e hijos bajo la noción clásica de la ""autoridad paterna"". Tradicionalmente, esta institución fue definida, entre padres e hijos, como “el conjunto de derechos y obligaciones de contenido eminentemente moral”, diferenciándola de la patria potestad, institución que el Código circunscribe principalmente al ámbito patrimonial y al ejercicio de facultades respecto de los bienes del hijo no emancipado. Como ha destacado la doctrina nacional, la evolución del derecho de familia chileno transitó desde un modelo fuertemente jerárquico, caracterizado por una preeminencia del padre en el ejercicio de la autoridad familiar, hacia un estatuto progresivamente igualitario y centrado en la protección de la infancia. Así, el texto original del Código Civil establecía profundas diferencias en materia de filiación, distinguiendo entre hijos legítimos, naturales e ilegítimos, y reconociendo la plenitud de derechos únicamente respecto de la filiación matrimonial, en desmedro de las uniones extramatrimoniales. Muestra patente de ello, es que el antiguo artículo 219 del Código Civil sometía al hijo ""especialmente a su padre"", postergando a un segundo plano las facultades de la madre en la formación de niños, niñas y adolescentes. Con el transcurso del tiempo, el derecho de familia fue experimentando un proceso gradual de modernización, especialmente en materias de igualdad entre los hijos, participación conjunta de ambos padres en la crianza y la centralidad del interés superior del niño como criterio rector de las relaciones entre padres e hijos. Dentro de este proceso, una de las modificaciones más sustantivas se produjo con la dictación, en 1998, de la ley N° 19.585, que modificó el Código Civil y otros cuerpos legales en materia de filiación. Esta reforma eliminó las categorías discriminatorias en la filiación, prescribiendo que los derechos y deberes derivados de la paternidad y maternidad corresponden a ambos padres con independencia de la existencia de ",,,,pending,
18384-08,19062,2026-06-22,ejecutivo,08,Ley de protección tarifaria eléctrica,texto_mensaje,rica,50690,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE LEY DE PROTECCIÓN TARIFARIA ELÉCTRICA. Santiago, 22 de junio de 2026 M E N S A J E N° 069-374/ A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS Honorable Cámara de Diputados: En uso de mis facultades constitucionales, tengo el honor de someter a vuestra consideración el siguiente proyecto de ley. ANTECEDENTES Durante el mes de mayo del presente año, el Ministerio de Energía dio a conocer la Ruta Energética 2026-2030 (en adelante, la “Ruta Energética”), consistente en un instrumento de política pública que contiene los compromisos y prioridades del Gobierno en el sector energía. La Ruta Energética recoge un diagnóstico compartido ampliamente: Chile ha avanzado con fuerza en la generación de energías renovables y debe continuar por la senda de la transición energética. No obstante, en dicho proceso no puede perder de vista velar por la seguridad del suministro; evitar un aumento significativo de las tarifas para las familias; y, que existan instituciones capaces de responder a un sector que cambia muy rápido. Es un hecho de público conocimiento que en los últimos años las tarifas eléctricas han experimentado alzas relevantes debido al descongelamiento tarifario realizado por la ley N°21.667 y, a los retrasos existentes en los procesos de fijación de tarifas. De esta manera, uno de los principales objetivos de la Ruta Energética es proteger a las familias chilenas frente al alza de las tarifas eléctricas, avanzando hacia tarifas más competitivas y justas. Lo anterior, porque el aumento del precio de la electricidad tiene un impacto concreto y directo en la economía doméstica de las familias y los emprendedores. Junto a lo anterior, la Ruta Energética busca implementar un sistema energético seguro y resiliente, que permita dar continuidad al suministro eléctrico de los clientes finales, en especial a aquellos que lo necesitan como soporte vital. De esta manera la Ruta Energética aborda los desafíos en materia de seguridad y resiliencia frente a eventos climáticos extremos, fallas operativas y riesgos de abastecimiento. Los eventos climáticos registrados en años recientes evidenciaron limitaciones en la capacidad de prevención, respuesta y reposición del servicio particularmente en redes de distribución rurales y de baja tensión. A fin de enfrentar este desafío, la Ruta Energética reconoce la necesidad de contar con infraestructura habilitante para la transición energética, estableciendo su foco en la expansión y mejor uso de las redes de transmisión. Finalmente resulta fundamenta",,,,pending,
18389-04,19070,2026-06-23,ejecutivo,04,Faculta a los establecimientos educacionales a implementar un mecanismo de elección mutua en el proceso de admisión escolar,texto_proyecto,rica,38139,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA UN PROYECTO DE LEY QUE FACULTA A LOS ESTABLECIMIENTOS EDUCACIONALES A IMPLEMENTAR UN MECANISMO DE ELECCIÓN MUTUA EN EL PROCESO DE ADMISIÓN ESCOLAR. Santiago, 23 de junio de 2026 MENSAJE N° 082-374/ Honorable Cámara de Diputados: A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS En uso de mis facultades constitucionales, tengo el honor de someter a vuestra consideración el siguiente proyecto de ley, que tiene por objeto facultar a los establecimientos educacionales a implementar un mecanismo de elección mutua en el proceso de admisión escolar. ANTECEDENTES La educación constituye uno de los pilares fundamentales del desarrollo de una sociedad libre, justa y próspera. Por esta razón, la Constitución Política de la República consagra el derecho a la educación y la libertad de enseñanza como derechos esenciales de las personas e impone al Estado obligaciones precisas en su garantía. A lo largo de la última década, el sistema escolar ha experimentado transformaciones dirigidas a asegurar la no discriminación arbitraria en el acceso a la educación, reducir la segregación entre establecimientos e igualar la calidad de los aprendizajes. Sin embargo, la experiencia acumulada durante estos años muestra que los instrumentos elegidos para alcanzarlos no han producido los resultados esperados. Incluso, en ciertas áreas, han generado tensiones que se encuentran identificadas por la evidencia disponible. La Ley N° 20.845, de Inclusión Escolar, publicada en 2015, dispuso “acabar con la marcada segregación escolar” y poner término a los procesos de selección que históricamente realizaban los establecimientos educacionales que reciben aportes del Estado, introduciendo en su reemplazo el Sistema de Admisión Escolar (en adelante, el “SAE”) como mecanismo único y centralizado de asignación de vacantes. Implementado de forma gradual desde 2016 y en régimen desde 2020, el SAE alcanza hoy a los establecimientos que atienden al 91% de la matrícula del país y opera mediante una plataforma digital única, en la que las familias postulan a sus hijos a los establecimientos de su preferencia y el sistema asigna los cupos disponibles a través de un algoritmo de aceptación diferida. El esquema vigente reconoce cuatro criterios sucesivos de prioridad —existencia de hermanos en el establecimiento, condición de estudiante prioritario siempre que haya una proporción de estos sea menor al 15% en el establecimiento al que postula, hijos de funcionarios del colegio y exalumnos que no hayan sido expulsados—. No obstante, en caso de",,,,pending,
18401-31,19085,2026-06-24,ejecutivo,31,Entrega un bono extraordinario de apoyo a la niñez,texto_proyecto,rica,13427,"MENSAJE DE S.E. EL PRESIDENTE DE LA REPÚBLICA CON EL QUE INICIA EL PROYECTO DE LEY QUE ENTREGA UN BONO EXTRAORDINARIO DE APOYO A LA NIÑEZ. __________________________________ Santiago, 23 de junio de 2026 MENSAJE N° 078-374/ Honorable Cámara de Diputados: A S.E. EL PRESIDENTE DE LA H. CÁMARA DE DIPUTADOS En uso de mis facultades constitucionales, tengo el honor de someter a su consideración el siguiente proyecto de ley. ANTECEDENTES La situación económica de los hogares ha experimentado importantes desafíos durante los últimos meses, principalmente debido a eventos externos en el mercado internacional del petróleo, un insumo estratégico clave del cual Chile es casi completamente dependiente. Lo anterior ha provocado un aumento del costo de la vida que se refleja en una variación del Índice de Precios al Consumidor de 3,9% en los últimos 12 meses y, especialmente, en un aumento del costo de la canasta básica de alimentos de 3,4% en el mismo periodo. Esto ha incidido directamente en la capacidad de las familias para satisfacer necesidades básicas y afrontar gastos permanentes, especialmente en épocas cercanas al invierno. Los antecedentes disponibles, de acuerdo con la Encuesta de Caracterización Socioeconómica Nacional (Casen) 2024, muestran que los hogares con presencia de niños, niñas y adolescentes presentan condiciones de vulnerabilidad económica superiores a las observadas en la población adulta. En particular, la tasa de pobreza de los niños, niñas y adolescentes alcanza un 24,9%, cifra superior al 15,1%, registrado en la población de 18 años o más, reflejando una mayor exposición de los hogares con menores de edad a situaciones de precariedad económica y a los efectos adversos de las fluctuaciones del ciclo económico. A ello se suma que las familias con niños, niñas y adolescentes deben afrontar gastos permanentes y difíciles de postergar, relacionados con alimentación, educación, transporte, vestuario, salud y cuidados, lo que reduce la capacidad de adaptación frente a contextos de restricción económica. En consecuencia, los aumentos en el costo de bienes y servicios esenciales impactan de manera especialmente significativa en su presupuesto familiar. En este contexto, se ha estimado necesario implementar una medida de apoyo que permita mitigar parcialmente los efectos de las actuales condiciones económicas sobre los hogares con menores de hasta 13 años de edad. Se trata de una respuesta focalizada, de carácter excepcional y transitoria, que atiende la especial vulnerabilidad de este grupo y las mayores cargas económicas que enfrentan sus familias ",,,,pending,
18407-25,19090,2026-06-24,parlamentario,25,"Modifica diversos cuerpos legales, con el objeto de agravar las sanciones aplicables en materia de lavado de activos",ingreso_proyecto,rica,7430,"Boletín N° 18.407-25 Proyecto de ley, iniciado en Moción de los Honorables Senadores señora Sepúlveda y señor Velásquez, que modifica diversos cuerpos legales, con el objeto de agravar las sanciones aplicables en materia de lavado de activos. En el último tiempo hemos observado con preocupación la creciente amenaza que representa la criminalidad organizada en nuestro país, que no solo ha intentado penetrar en las poblaciones a través del tráfico de drogas, sino que ha comenzado a corroer el funcionamiento de diferentes instituciones públicas y privadas. Para combatir este fenómeno, en el último tiempo se han redoblado los esfuerzos legislativos para darles a las policías e instituciones persecutoras todas las herramientas necesarias para mantener el orden público y combatir el narcotráfico y la corrupción. Paralelamente, este Congreso se encuentra en la fase final de la tramitación del proyecto de inteligencia económica, que pretende dar un encuadre legal a la coordinación de los organismos en la detección de actividades sospechosas, potenciando para ello la actividad y coordinación de la Unidad de Análisis Financiero, el Servicio de Imp uestos Internos, Aduanas, y las demás instituciones públicas y privadas que pueden elevar alertas sobre actividades económicas sospechosas. En ese mismo sentido, se ha buscado atacar directamente la ""ruta del dinero"", entendiendo que una de las principales actividades de la criminalidad organizada y el narcotráfico es el lavado o blanqueo de activos, con el fin de ingresar dineros obtenidos por vías ilícitas al mercado formal. Esta acción criminal tiene repercu siones negativas para la sociedad, haciendo rentable la actividad ilícita en contextos que originan frecuentemente violencia y temor social; generando incentivos a la corrupción y cohecho en instituciones fiscalizadoras; y afectando a la economía, salud y seguridad pública; degradando el Estado de Derecho en el país. A pesar de estos esfuerzos, recientemente se ha dado a conocer la detención de ejecutivos bancarios de reconocidas instituciones bancarias del país que, aprovechándose de su posición, facilitaron esquemas de lavados de activos respaldados por la reputación de sus respectivos bancos. Si bien las alertas que pudieron haber generado dichas entidades ante la UAF constituyen hoy materia de investigaci ón, resulta crucial revisar legislativamente los incentivos para aquellas instituciones obligadas a informar sobr e actividades sospechosas, con el fin de prevenir futuros incidentes. En este sentido, la reforma legal de inteligencia económica, entre otras co",,,,pending,
18435-01,19116,2026-06-29,parlamentario,01,"Establece un mecanismo de trazabilidad y control de insumos, maquinaria y bienes críticos rurales",ingreso_proyecto,rica,22444,"FUNDAMENTOS El robo de maquinaria e insumos agrícolas constituye uno de los fenómenos delictuales de mayor expansión en el Chile rural de los últimos años. Si bien su impacto directo recae sobre los agricultores y productores que ven sustraídos tractores, equipos de r iego, fertilizantes o pesticidas, sus consecuencias se irradian hacia el conjunto de la cadena agroalimentaria, afectando la productividad, los costos de producción, la seguridad alimentaria y, en último término, la competitividad exportadora del país. A diferencia de otros delitos de alta visibilidad —como el homicidio o el robo con violencia en zonas urbanas—, el robo agrícola ha permanecido durante largo tiempo en una zona gris de la estadística oficial. Las categorías penales vigentes no lo individualizan con precisión, la encuesta oficial de victimización del INE no alcanza el mundo rural con la profundidad necesaria, y las instituciones del Estado tardaron en reconocerlo como un fenómeno diferenciado que requería respuesta específica. Esa combinació n de invisibilidad estadística y daño económico concreto es, precisamente, lo que hace urgente el análisis que se desarrolla en las páginas siguientes. La primera y más importante advertencia que debe hacerse antes de analizar cifras es que Chile no dispone, a la fecha, de una serie estadística oficial robusta, pública y continua etiquetada específicamente como 'robo de maquinaria e insumos agrícolas' . Esta ausencia no es trivial: implica que tanto la focalización de políticas públicas como la asignación de recursos policiales y fiscales se realizan sin un termómetro confiable del problema. La Encuesta Nacional Urbana de Seguridad Ciudadana (ENUSC), instrumento oficial del INE para medir victimización, tiene un alcance predominantemente urbano. Su propio manual de trabajo de campo excluye varios robos a negocios o bienes de empresa cuando no existe afectación directa a un integrante del hogar, lo que deja fuera del registro una 29-06-2026 21:50 fracción significativa del robo productivo en predios, galpones y bodegas. En consecuencia, la ENUSC subestima de manera estructural el fenómeno que este documento analiza. Como cifra de referencia oficial a nivel nacional, la categoría policial más cercana al robo agrícola es el 'robo en lugar no habitado', que incluye bodegas, galpones y recintos productivos. Esta cifra no equivale exactamente al robo agrícola puro —pues también abarca robos a inmuebles comerciales e industriales urbanos—, pero es hoy la mejor aproximación disponible en los registros del Estado. Según los informes de Carabineros ",,,,pending,
