boletin,titulo,origen_iniciativa,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,method,confidence,needs_review,review_reason,evidence,taxonomy_version,auto_topic_primary,auto_topic_secondary,reviewer,review_rationale,reviewed_at
18266-15,Establece un número único de emergencias en concesiones viales,parlamentario,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,institutional-hybrid-v0.3,Transportes y telecomunicaciones,,,,
18463-06,"Suspende la aplicación del mecanismo de actualización de escaños parlamentarios previsto en el artículo 189 de la ley N° 18.700, orgánica constitucional sobre Votaciones Populares y Escrutinios",parlamentario,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",institutional-hybrid-v0.3,Gobierno interior y descentralización,,,,
18253-25,"Modifica diversos cuerpos legales, con el objeto de fortalecer la protección y seguridad en los establecimientos de salud",parlamentario,Seguridad Ciudadana,Seguridad Ciudadana,Seguridad,,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,institutional-hybrid-v0.3,Seguridad,,,,
18254-11,"Modifica diversos cuerpos legales, con el objeto de aumentar las sanciones ante el incumplimiento del período de asignación obligatoria por parte de los profesionales del área de la salud que indica",parlamentario,Salud,Salud,Salud,,institucional_destinacion,0.97,0,,comision_origen=Salud,institutional-hybrid-v0.3,Salud,,,,
18267-24,"Modifica la ley N° 19.928, sobre fomento de la música chilena, para regular y proteger la participación de teloneros chilenos en conciertos de artistas extranjeros",parlamentario,"Cultura, Artes y Comunicaciones","Cultura, Artes y Comunicaciones",Cultura y comunicaciones,,institucional_destinacion,0.97,0,,"comision_origen=Cultura, Artes y Comunicaciones",institutional-hybrid-v0.3,Cultura y comunicaciones,,,,
18268-06,Modifica textos legales que indica para fortalecer la transparencia activa y la rendición de cuentas en la ejecución de los aportes fiscales de libre disposición del royalty minero,parlamentario,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",institutional-hybrid-v0.3,Gobierno interior y descentralización,,,,
18269-01,"Establece medidas de prevención y control de riesgos asociados a perros salvajes o ferales, en la seguridad de las personas, el ganado y la fauna silvestre",parlamentario,"Agricultura, Silvicultura y Desarrollo Rural","Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,,institucional_destinacion,0.97,0,,"comision_origen=Agricultura, Silvicultura y Desarrollo Rural",institutional-hybrid-v0.3,Agricultura y mundo rural,,,,
18270-25,"Regula la fabricación, acondicionamiento, importación, comercialización y uso de vehículos blindados de uso particular",parlamentario,Seguridad Ciudadana,Seguridad Ciudadana,Seguridad,,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,institutional-hybrid-v0.3,Seguridad,,,,
18271-07,Establece la obligación de declarar los aportes provenientes desde el extranjero para personas jurídicas sin fines de lucro,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Relaciones exteriores,Constitución y justicia,hibrido_institucional_texto,0.763,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Relaciones exteriores:8.00 || score_2=Constitución y justicia:4.75",institutional-hybrid-v0.3,Relaciones exteriores,Constitución y justicia,,,
18281-15,Modifica la Ley de Tránsito para establecer una excepción acotada a la restricción vehicular respecto de vehículos destinados al funcionamiento de ferias libres legalmente autorizadas,parlamentario,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,institutional-hybrid-v0.3,Transportes y telecomunicaciones,,,,
18282-07,"Modifica el Código Penal para sancionar toda forma de instrumentalización de niños, niñas y adolescentes para cometer delitos",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento","Familia, infancia y adolescencia",Constitución y justicia,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Familia, infancia y adolescencia:26.25 || score_2=Constitución y justicia:14.25",institutional-hybrid-v0.3,"Familia, infancia y adolescencia",Constitución y justicia,,,
18283-35,Dispone como beneficiarios de la cuota preferente de inclusión laboral a las y los cuidadores no remunerados y otras personas que indica,parlamentario,Personas Mayores y Discapacidad,Personas Mayores y Discapacidad | Trabajo y Seguridad Social,Personas mayores y discapacidad,Trabajo y seguridad social,institucional_destinacion,0.97,0,,comision_origen=Personas Mayores y Discapacidad,institutional-hybrid-v0.3,Personas mayores y discapacidad,Trabajo y seguridad social,,,
18284-29,"Establece medidas de control, prohibición y resguardo de la integridad deportiva respecto de plataformas de apuestas en línea no autorizadas",parlamentario,Deportes y Recreación,Deportes y Recreación,Deportes,,institucional_destinacion,0.97,0,,comision_origen=Deportes y Recreación,institutional-hybrid-v0.3,Deportes,,,,
18255-31,Establece un beneficio de compensación por la compra de pañales y de medicamentos,ejecutivo,Desarrollo Social,Desarrollo Social,Desarrollo social,,institucional_destinacion,0.97,0,,comision_origen=Desarrollo Social,institutional-hybrid-v0.3,Desarrollo social,,,,
18256-10,"Aprueba el Acuerdo entre la República de Chile y la República Helénica sobre el empleo remunerado de dependientes de miembros de una misión diplomática o representación consular, suscrito en Santiago, el 24 de abril de 2024",ejecutivo,Relaciones Exteriores,Relaciones Exteriores,Relaciones exteriores,,institucional_destinacion,0.97,0,,comision_origen=Relaciones Exteriores,institutional-hybrid-v0.3,Relaciones exteriores,,,,
18257-10,"Aprueba el Acuerdo general sobre los privilegios e inmunidades de la Organización Internacional de Policía Criminal-INTERPOL, aprobado en Marrakech, Marruecos, el 24 de noviembre de 2025",ejecutivo,Relaciones Exteriores,Relaciones Exteriores,Relaciones exteriores,,institucional_destinacion,0.97,0,,comision_origen=Relaciones Exteriores,institutional-hybrid-v0.3,Relaciones exteriores,,,,
18258-07,"Modifica la ley N°18.415, orgánica constitucional de los estados de excepción, en materia de control de identidad y otros",ejecutivo,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Seguridad,Constitución y justicia,hibrido_institucional_texto,0.87,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Seguridad:25.50 || score_2=Constitución y justicia:20.50",institutional-hybrid-v0.3,Seguridad,Constitución y justicia,,,
18259-08,"Modifica el Código de Minería y las leyes números 21.420 y 21.649, en materia de amparo minero y otras materias que indica",ejecutivo,Minería y Energía,Minería y Energía | Hacienda,Minería y energía,Economía y hacienda,institucional_destinacion,0.97,0,,comision_origen=Minería y Energía,institutional-hybrid-v0.3,Minería y energía,Economía y hacienda,,,
18285-05,Modifica los cuerpos legales que indica para fortalecer la publicidad y transparencia en materia de modificación presupuestaria,parlamentario,Hacienda,Hacienda,Economía y hacienda,Gobierno interior y descentralización,revision_semantica,0.99,0,,origen=Hacienda || score_1=Economía y hacienda:7.00 || score_2=Gobierno interior y descentralización:3.00,institutional-hybrid-v0.3,Economía y hacienda,,modelo_lenguaje_revision_completa,Regula publicidad y transparencia de modificaciones presupuestarias; el núcleo es el manejo y control del presupuesto público.,2026-09-02
18290-15,Establece una exención del pago de peajes en situaciones de emergencia que indica,parlamentario,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,institutional-hybrid-v0.3,Transportes y telecomunicaciones,,,,
18260-07,"Crea los Tribunales de Familia, con el objeto de establecer un procedimiento especial para la determinación de la responsabilidad parental en el caso de daños provocados por niños, niñas y adolescentes.",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento","Familia, infancia y adolescencia",Constitución y justicia,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Familia, infancia y adolescencia:34.25 || score_2=Constitución y justicia:18.50",institutional-hybrid-v0.3,"Familia, infancia y adolescencia",Constitución y justicia,,,
18261-13,Declara el día 4 de noviembre de cada año como el Día Nacional del Trabajador de Cementerios,parlamentario,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,institutional-hybrid-v0.3,Trabajo y seguridad social,,,,
18272-37,Declara el trabajo de las mujeres descoladoras en la industria pesquera como patrimonio cultural inmaterial de Chile,parlamentario,"Cultura, Patrimonio, Artes, Deportes y Recreación","Cultura, Patrimonio, Artes, Deportes y Recreación","Cultura, patrimonio y deporte",,institucional_destinacion,0.97,0,,"comision_origen=Cultura, Patrimonio, Artes, Deportes y Recreación",institutional-hybrid-v0.3,"Cultura, patrimonio y deporte",,,,
18273-21,"Modifica la Ley General de Pesca y Acuicultura, con el objeto de reconocer las actividades conexas a la pesca industrial.",parlamentario,"Pesca, Acuicultura e Intereses Marítimos","Pesca, Acuicultura e Intereses Marítimos",Pesca y acuicultura,,institucional_destinacion,0.97,0,,"comision_origen=Pesca, Acuicultura e Intereses Marítimos",institutional-hybrid-v0.3,Pesca y acuicultura,,,,
18274-07,"Modifica la Carta Fundamental, con el objeto de consagrar el deber del Estado de resguardar la soberanía digital",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.884,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:10.50 || score_2=Ciencia y tecnología:3.00",institutional-hybrid-v0.3,Constitución y justicia,,,,
18275-12,"Modifica diversos cuerpos legales, con el objeto de precisar las funciones ecosistémicas esenciales de los humedales urbanos y los criterios para su delimitación y protección.",parlamentario,Medio Ambiente y Recursos Naturales,Medio Ambiente y Recursos Naturales,Medio ambiente,,institucional_destinacion,0.97,0,,comision_origen=Medio Ambiente y Recursos Naturales,institutional-hybrid-v0.3,Medio ambiente,,,,
18276-07,"Modifica el número 1° del artículo 447 del Código Penal, con el objeto de actualizar los términos utilizados en la tipificación del delito de hurto doméstico",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,Trabajo y seguridad social,revision_semantica,0.97,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:11.25 || score_2=Trabajo y seguridad social:10.50",institutional-hybrid-v0.3,Constitución y justicia,Trabajo y seguridad social,modelo_lenguaje_revision_completa,Actualiza la terminología del tipo penal de hurto doméstico; la referencia a relaciones laborales históricas es secundaria frente al objeto penal.,2026-09-02
18277-04,Restringe el uso de redes sociales por parte de los menores de edad que indica,parlamentario,Educación,Educación,Educación,,institucional_destinacion,0.97,0,,comision_origen=Educación,institutional-hybrid-v0.3,Educación,,,,
18278-13,"Sanciona las acusaciones falsas en materia laboral, y modifica el Código Penal y el Código del Trabajo del modo que indica",parlamentario,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,institutional-hybrid-v0.3,Trabajo y seguridad social,,,,
18289-01,"Modifica el DFL N° 30, de 2004, que aprueba el texto refundido, coordinado y sistematizado del decreto con fuerza de ley de Hacienda N° 213, de 1953, sobre ordenanza de aduanas, para establecer sanciones en caso de contrabando de productos agropecuarios infestados",parlamentario,"Agricultura, Silvicultura y Desarrollo Rural","Agricultura, Silvicultura y Desarrollo Rural",Agricultura y mundo rural,,institucional_destinacion,0.97,0,,"comision_origen=Agricultura, Silvicultura y Desarrollo Rural",institutional-hybrid-v0.3,Agricultura y mundo rural,,,,
18288-06,Modifica diversos cuerpos legales para eliminar la facultad de autoridades locales y regionales de renunciar antes del periodo establecido y postular a nuevos cargos de elección popular,parlamentario,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",institutional-hybrid-v0.3,Gobierno interior y descentralización,,,,
18287-11,Establece un marco general para la implementación de la reproducción humana asistida,parlamentario,Salud,Salud,Salud,,institucional_destinacion,0.97,0,,comision_origen=Salud,institutional-hybrid-v0.3,Salud,,,,
18291-07,Fortalece legítima defensa privilegiada y la protección jurídica de las víctimas de delitos violentos,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Seguridad,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Seguridad Ciudadana",institutional-hybrid-v0.3,Seguridad,Constitución y justicia,,,
18292-07,Modifica cuerpos legales que indica para fortalecer la persecución penal en materia de reincidencia,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Seguridad,Constitución y justicia,revision_semantica,0.97,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Seguridad:11.00 || score_2=Constitución y justicia:10.75",institutional-hybrid-v0.3,Seguridad,Constitución y justicia,modelo_lenguaje_revision_completa,La finalidad declarada es fortalecer la persecución penal frente a la reincidencia y responder a problemas de seguridad pública; las reformas procesales son el instrumento.,2026-09-02
18293-15,Modifica ley del tránsito para aumentar la frecuencia de la revisión técnica de los buses de dos pisos,parlamentario,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,institutional-hybrid-v0.3,Transportes y telecomunicaciones,,,,
18295-07,Modifica el Código Penal para sancionar el falso anuncio de atentados o explosivos en establecimientos educacionales,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Seguridad,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Seguridad Ciudadana",institutional-hybrid-v0.3,Seguridad,Constitución y justicia,,,
18306-15,"Modifica la ley N° 18.290, de tránsito, para sancionar la negativa a aceptar el pago de tarifa escolar en el transporte público remunerado de pasajeros",parlamentario,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,institutional-hybrid-v0.3,Transportes y telecomunicaciones,,,,
18307-03,"Modifica la ley N° 19.496, que establece normas sobre protección de los derechos de los consumidores, para disponer la devolución íntegra del valor del pasaje cancelado en el transporte interurbano de pasajeros",parlamentario,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",,institucional_destinacion,0.97,0,,"comision_origen=Economía, Fomento, MIPYMES, Consumidores y Turismo",institutional-hybrid-v0.3,"Economía, comercio y consumidores",,,,
18308-11,"Modifica la ley N° 19.419, que regula actividades que indica relacionadas con el tabaco, para extender su aplicación a los dispositivos alternativos con y sin nicotina",parlamentario,Salud,Salud,Salud,,institucional_destinacion,0.97,0,,comision_origen=Salud,institutional-hybrid-v0.3,Salud,,,,
18280-21,"Modifica la ley N°21.069, que crea el Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala, Indespa, en lo relativo a la manera de regular el periodo de inscripción y postulación a beneficios que indica",parlamentario,"Pesca, Acuicultura e Intereses Marítimos","Pesca, Acuicultura e Intereses Marítimos",Pesca y acuicultura,,institucional_destinacion,0.97,0,,"comision_origen=Pesca, Acuicultura e Intereses Marítimos",institutional-hybrid-v0.3,Pesca y acuicultura,,,,
18309-14,Modifica la Ley General de Urbanismo y Construcciones para exigir la ejecución previa o simultánea de las medidas de mitigación directas en proyectos inmobiliarios,parlamentario,"Vivienda, Desarrollo Urbano","Vivienda, Desarrollo Urbano",Vivienda y territorio,,institucional_destinacion,0.97,0,,"comision_origen=Vivienda, Desarrollo Urbano",institutional-hybrid-v0.3,Vivienda y territorio,,,,
18310-03,Modifica la ley N° 19.925 para regular la venta de bebidas alcohólicas en grandes cantidades a personas no autorizadas para su expendio o comercialización,parlamentario,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",,institucional_destinacion,0.97,0,,"comision_origen=Economía, Fomento, MIPYMES, Consumidores y Turismo",institutional-hybrid-v0.3,"Economía, comercio y consumidores",,,,
18311-06,Rehabilita la nacionalidad chilena a Carolina Dawabe Valle,parlamentario,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",institutional-hybrid-v0.3,Gobierno interior y descentralización,,,,
18312-07,"Modifica el Código Penal para agravar las sanciones aplicables a ciertos delitos cometidos por asociaciones delictivas o criminales, o por cuenta o encargo de estas",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:18.00 || score_2=Seguridad:3.75",institutional-hybrid-v0.3,Constitución y justicia,,,,
18279-10,"Aprueba el Acuerdo que modifica el Convenio entre la República de Chile y el Gobierno de la República de Hungría con el Objeto de Autorizar el Ejercicio de Actividades Remuneradas en el Estado Receptor por los Familiares Dependientes del Personal Diplomático, Consular, Administrativo y Técnico de las Misiones Diplomáticas y Consulares Acreditadas ante los respectivos Gobiernos, y por los Familiares Dependientes de Nacionales Chilenos o Húngaros Acreditados ante Organizaciones Internacionales con Sede en Cualquiera de los Dos Países, adoptado por intercambio de Notas, fechadas en Santiago y Budapest, el 15 de julio de 2024.",ejecutivo,Relaciones Exteriores,Relaciones Exteriores,Relaciones exteriores,,institucional_destinacion,0.97,0,,comision_origen=Relaciones Exteriores,institutional-hybrid-v0.3,Relaciones exteriores,,,,
18286-03,"Modifica la ley N° 19.799, sobre documentos electrónicos, firma electrónica y servicios de certificación de dicha firma, y otros cuerpos legales relacionados",ejecutivo,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",,institucional_destinacion,0.97,0,,"comision_origen=Economía, Fomento, MIPYMES, Consumidores y Turismo",institutional-hybrid-v0.3,"Economía, comercio y consumidores",,,,
18297-07,"Interpreta el artículo primero transitorio de la ley N° 21.772, que modifica el sistema registral y notarial en sus aspectos orgánicos y funcionales, en lo relativo al procedimiento para proveer las vacantes que indica",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Derechos Humanos y Pueblos Originarios",Derechos humanos,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Derechos Humanos y Pueblos Originarios",institutional-hybrid-v0.3,Derechos humanos,Constitución y justicia,,,
18298-07,"Modifica la Carta Fundamental, con el objeto de incluir a las empresas del Estado entre las entidades fiscalizadas por la Contraloría General de la República",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento","Economía, comercio y consumidores",Constitución y justicia,hibrido_institucional_texto,0.919,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Economía, comercio y consumidores:17.50 || score_2=Constitución y justicia:9.75",institutional-hybrid-v0.3,"Economía, comercio y consumidores",Constitución y justicia,,,
18313-08,"Modifica el decreto ley N° 1.349, de 1976, que crea la Comisión Chilena del Cobre, para otorgar a la Contraloría General de la República facultades fiscalizadoras respecto de las empresas estatales productoras de cobre y sus derivados",parlamentario,Minería y Energía,"Constitución, Legislación, Justicia y Reglamento | Minería y Energía",Minería y energía,Constitución y justicia,institucional_destinacion,0.97,0,,comision_origen=Minería y Energía,institutional-hybrid-v0.3,Minería y energía,Constitución y justicia,,,
18316-02,"Previene y sanciona la fabricación, adaptación y circulación de armas hechizas y dispositivos susceptibles de ser transformados en armas de fuego",parlamentario,Defensa Nacional,Defensa Nacional,Defensa,,institucional_destinacion,0.97,0,,comision_origen=Defensa Nacional,institutional-hybrid-v0.3,Defensa,,,,
18317-13,Modifica el Código de Trabajo para eximir de la jornada ordinaria de trabajo a quienes se desempeñen en instituciones de beneficencia,parlamentario,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,institutional-hybrid-v0.3,Trabajo y seguridad social,,,,
18318-19,"Establece un estatuto de responsabilidad algorítmica y protección digital de niños, niñas y adolescentes",parlamentario,Ciencia y Tecnología,Ciencia y Tecnología,Ciencia y tecnología,,institucional_destinacion,0.97,0,,comision_origen=Ciencia y Tecnología,institutional-hybrid-v0.3,Ciencia y tecnología,,,,
18319-07,"Modifica el Código Penal para incorporar la circunstancia agravante de atentado contra personas que se desempeñen en centros de acogida y cuidado de niños, niñas y adolescentes reconocidos por el Estado",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento","Familia, infancia y adolescencia",Constitución y justicia,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Familia, infancia y adolescencia:29.25 || score_2=Constitución y justicia:14.25",institutional-hybrid-v0.3,"Familia, infancia y adolescencia",Constitución y justicia,,,
18320-18,Modifica la ley N° 21.430 para incorporar medidas de protección de la infancia y la adolescencia en entornos digitales,parlamentario,"Familia, Infancia y Adolescencia","Familia, Infancia y Adolescencia","Familia, infancia y adolescencia",,institucional_destinacion,0.97,0,,"comision_origen=Familia, Infancia y Adolescencia",institutional-hybrid-v0.3,"Familia, infancia y adolescencia",,,,
18326-18,"Refuerza la protección integral de niños, niñas y adolescentes en procesos judiciales y establece medidas de prevención y sanción de falsos informes y denuncias",parlamentario,"Familia, Infancia y Adolescencia","Familia, Infancia y Adolescencia","Familia, infancia y adolescencia",,institucional_destinacion,0.97,0,,"comision_origen=Familia, Infancia y Adolescencia",institutional-hybrid-v0.3,"Familia, infancia y adolescencia",,,,
18296-05,Autoriza mayor endeudamiento del gobierno central durante el año 2026,ejecutivo,Hacienda,Hacienda,Economía y hacienda,,hibrido_institucional_texto,0.92,0,,origen=Hacienda || score_1=Economía y hacienda:19.25 || score_2=Ciencia y tecnología:1.50,institutional-hybrid-v0.3,Economía y hacienda,,,,
18299-35,"Modifica diversos cuerpos legales, con el objeto de promover la responsabilidad familiar respecto de adultos mayores internados en establecimientos de salud",parlamentario,Personas Mayores y Discapacidad,Personas Mayores y Discapacidad,Personas mayores y discapacidad,,institucional_destinacion,0.97,0,,comision_origen=Personas Mayores y Discapacidad,institutional-hybrid-v0.3,Personas mayores y discapacidad,,,,
18300-04,Prohíbe el acceso y uso de redes sociales a menores de catorce años y establece las obligaciones que indica para los prestadores de dichos servicios,parlamentario,Educación,Educación,Educación,,institucional_destinacion,0.97,0,,comision_origen=Educación,institutional-hybrid-v0.3,Educación,,,,
18302-11,"Modifica la ley N° 20.606, sobre composición nutricional de los alimentos y su publicidad, con el objeto de facilitar el acceso a alimentos libres de gluten en establecimientos de comercio y garantizar su inocuidad",parlamentario,Salud,Salud,Salud,,institucional_destinacion,0.97,0,,comision_origen=Salud,institutional-hybrid-v0.3,Salud,,,,
18303-15,Prorroga la vigencia de las licencias de conducir en los casos y plazos que señala,parlamentario,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,institutional-hybrid-v0.3,Transportes y telecomunicaciones,,,,
18304-06,"Modifica la Ley Orgánica Constitucional de los Partidos Políticos, con el objeto de establecer un porcentaje mínimo de participación de afiliados para la validez de los procesos de elección de sus autoridades",parlamentario,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",institutional-hybrid-v0.3,Gobierno interior y descentralización,,,,
18305-04,"Modifica la Ley sobre Subvención del Estado a Establecimientos Educacionales, con el objeto de prohibir la postulación a las instituciones educativas que indica a alumnos sancionados con la medida de expulsión",parlamentario,Educación,Educación,Educación,,institucional_destinacion,0.97,0,,comision_origen=Educación,institutional-hybrid-v0.3,Educación,,,,
18321-14,Fortalece la seguridad en edificaciones habitacionales en altura,parlamentario,"Vivienda, Desarrollo Urbano","Vivienda, Desarrollo Urbano",Vivienda y territorio,,institucional_destinacion,0.97,0,,"comision_origen=Vivienda, Desarrollo Urbano",institutional-hybrid-v0.3,Vivienda y territorio,,,,
18322-06,"Modifica la ley N°18.695, orgánica constitucional de municipalidades, para disponer la atribución municipal de regular el horario de funcionamiento de los establecimientos de comercio que se indican",parlamentario,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",institutional-hybrid-v0.3,Gobierno interior y descentralización,,,,
18301-10,"Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República de Costa Rica, suscrito en Lima, Perú, el 13 de diciembre de 2023",ejecutivo,Relaciones Exteriores,Relaciones Exteriores,Relaciones exteriores,,institucional_destinacion,0.97,0,,comision_origen=Relaciones Exteriores,institutional-hybrid-v0.3,Relaciones exteriores,,,,
18324-07,Introduce en el Código Procesal Penal la figura del agente encubierto en línea,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Seguridad,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Seguridad Ciudadana",institutional-hybrid-v0.3,Seguridad,Constitución y justicia,,,
18325-06,Establece un régimen especial de nacionalización para deportistas de alto rendimiento y proyección internacional,parlamentario,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Deportes y Recreación",Gobierno interior y descentralización,Deportes,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",institutional-hybrid-v0.3,Gobierno interior y descentralización,Deportes,,,
18327-07,"Modifica la ley N° 18.918, orgánica constitucional del Congreso Nacional, para sancionar el incumplimiento de funciones parlamentarias durante la semana distrital",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Administración parlamentaria,Constitución y justicia,revision_semantica,0.98,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:9.00 || score_2=Trabajo y seguridad social:5.25",institutional-hybrid-v0.3,Constitución y justicia,Trabajo y seguridad social,modelo_lenguaje_piloto,Regula el cumplimiento de funciones de diputados y senadores durante la semana territorial y las sanciones por incumplimiento.,2026-09-02
